archivo,procesos,tiempo,costo
11nodos.txt,1,0.0532008,133
11nodos.txt,2,0.0310715,133
11nodos.txt,4,0.0155257,133
11nodos.txt,6,0.0204324,133
11nodos.txt,8,0.0128476,133
11nodos.txt,10,0.00760552,133
11nodos.txt,12,0.00771406,133
12nodos.txt,1,0.0455062,1733
12nodos.txt,2,0.02724,1733
12nodos.txt,4,0.0173442,1733
12nodos.txt,6,0.00719367,1733
12nodos.txt,8,0.0140098,1733
12nodos.txt,10,0.00560304,1733
12nodos.txt,12,0.00397501,1733
15nodos.txt,1,0.259974,291
15nodos.txt,2,0.108215,291
15nodos.txt,4,0.0481475,291
15nodos.txt,6,0.0611624,291
15nodos.txt,8,0.0201327,291
15nodos.txt,10,0.0252631,291
15nodos.txt,12,0.0209371,291
5nodos.txt,1,8.1754e-05,19
5nodos.txt,2,4.356e-05,19
5nodos.txt,4,2.2978e-05,19
5nodos.txt,6,2.1207e-05,19
5nodos.txt,8,2.1758e-05,19
5nodos.txt,10,2.2607e-05,19
5nodos.txt,12,2.1027e-05,19
